model,metric,value
isolation_forest,accuracy,0.9147511209489755
isolation_forest,precision,0.5396874042292369
isolation_forest,recall,1.0
isolation_forest,f1_score,0.7010350318471338
isolation_forest,roc_auc,0.9526421995207467
isolation_forest,inference_time,5.620010137557983
isolation_forest,detections,6526.0
isolation_forest,tp,3522.0
isolation_forest,fp,3004.0
isolation_forest,tn,28712.0
isolation_forest,fn,0.0
one_class_svm,accuracy,0.898348373914524
one_class_svm,precision,0.4954641669186574
one_class_svm,recall,0.9304372515616127
one_class_svm,f1_score,0.6466061562746646
one_class_svm,roc_auc,0.912611109069998
one_class_svm,inference_time,1231.5369057655334
one_class_svm,detections,6614.0
one_class_svm,tp,3277.0
one_class_svm,fp,3337.0
one_class_svm,tn,28379.0
one_class_svm,fn,245.0
